;set_id;name;year;theme;subtheme;themeGroup;category;pieces;minifigs;agerange_min;US_retailPrice;bricksetURL;thumbnailURL;imageURL
0;1-8;Small house set;1970;Minitalia;;Vintage;Normal;67.0;;;;https://brickset.com/sets/1-8;https://images.brickset.com/sets/small/1-8.jpg;https://images.brickset.com/sets/images/1-8.jpg
1;2-8;Medium house set;1970;Minitalia;;Vintage;Normal;109.0;;;;https://brickset.com/sets/2-8;https://images.brickset.com/sets/small/2-8.jpg;https://images.brickset.com/sets/images/2-8.jpg
2;3-6;Medium house set;1970;Minitalia;;Vintage;Normal;158.0;;;;https://brickset.com/sets/3-6;https://images.brickset.com/sets/small/3-6.jpg;https://images.brickset.com/sets/images/3-6.jpg
3;4-4;Large house set;1970;Minitalia;;Vintage;Normal;233.0;;;;https://brickset.com/sets/4-4;https://images.brickset.com/sets/small/4-4.jpg;https://images.brickset.com/sets/images/4-4.jpg
4;4-6;Mini House and Vehicles;1970;Samsonite;Model Maker;Vintage;Normal;;;;;https://brickset.com/sets/4-6;;
5;078-1;Roadway Base Plate 50X50;1970;Samsonite;Supplemental;Vintage;Normal;1.0;;;;https://brickset.com/sets/078-1;https://images.brickset.com/sets/small/078-1.jpg;https://images.brickset.com/sets/images/078-1.jpg
6;104-1;4.5V Replacement Motor;1970;Trains;Supplemental / 4.5V;Modern day;Normal;1.0;;;;https://brickset.com/sets/104-1;https://images.brickset.com/sets/small/104-1.jpg;https://images.brickset.com/sets/images/104-1.jpg
7;126-1;Steam Locomotive (Push);1970;Trains;4.5v;Modern day;Normal;60.0;;;;https://brickset.com/sets/126-1;https://images.brickset.com/sets/small/126-1.jpg;https://images.brickset.com/sets/images/126-1.jpg
8;157-3;4 Car Auto Transport;1970;Samsonite;Model Maker;Vintage;Normal;65.0;;;;https://brickset.com/sets/157-3;https://images.brickset.com/sets/small/157-3.jpg;https://images.brickset.com/sets/images/157-3.jpg
9;242-4;Big Model Book;1970;Books;LEGO;Miscellaneous;Book;;;;;https://brickset.com/sets/242-4;https://images.brickset.com/sets/small/242-4.jpg;https://images.brickset.com/sets/images/242-4.jpg
10;271-3;Mini-House with Vehicles;1970;Samsonite;Model Maker;Vintage;Normal;89.0;;;;https://brickset.com/sets/271-3;https://images.brickset.com/sets/small/271-3.jpg;https://images.brickset.com/sets/images/271-3.jpg
11;311-5;Remote Control Car Set;1970;Samsonite;Model Maker;Vintage;Normal;271.0;;;;https://brickset.com/sets/311-5;https://images.brickset.com/sets/small/311-5.jpg;https://images.brickset.com/sets/images/311-5.jpg
12;312-1;Remote Control Supplement;1970;Samsonite;Model Maker;Vintage;Normal;1.0;;;;https://brickset.com/sets/312-1;https://images.brickset.com/sets/small/312-1.jpg;https://images.brickset.com/sets/images/312-1.jpg
13;338-1;Ambulance;1970;LEGOLAND;Vehicle;Vintage;Normal;74.0;;;;https://brickset.com/sets/338-1;https://images.brickset.com/sets/small/338-1.jpg;https://images.brickset.com/sets/images/338-1.jpg
14;345-3;House with Mini-Wheel Car;1970;Samsonite;Model Maker;Vintage;Normal;136.0;;;;https://brickset.com/sets/345-3;https://images.brickset.com/sets/small/345-3.jpg;https://images.brickset.com/sets/images/345-3.jpg
15;346-1;Jumbo Jet;1970;Samsonite;Model Maker;Vintage;Normal;121.0;;;;https://brickset.com/sets/346-1;https://images.brickset.com/sets/small/346-1.jpg;https://images.brickset.com/sets/images/346-1.jpg
16;347-1;Fire Station;1970;LEGOLAND;Building;Vintage;Normal;320.0;;;;https://brickset.com/sets/347-1;https://images.brickset.com/sets/small/347-1.jpg;https://images.brickset.com/sets/images/347-1.jpg
17;347-4;Fire Station with Mini-Wheel Vehicles;1970;Samsonite;Model Maker;Vintage;Normal;216.0;;;;https://brickset.com/sets/347-4;https://images.brickset.com/sets/small/347-4.jpg;https://images.brickset.com/sets/images/347-4.jpg
18;348-2;Mini-Wheel Car and Truck Set;1970;Samsonite;Model Maker;Vintage;Normal;211.0;;;;https://brickset.com/sets/348-2;https://images.brickset.com/sets/small/348-2.jpg;https://images.brickset.com/sets/images/348-2.jpg
19;367-2;Mini Airport and Vehicle;1970;Samsonite;Model Maker;Vintage;Normal;233.0;;;;https://brickset.com/sets/367-2;https://images.brickset.com/sets/small/367-2.jpg;https://images.brickset.com/sets/images/367-2.jpg
20;512-1;Building Set ;1970;Duplo;Basic Set;Pre-school;Normal;20.0;;;;https://brickset.com/sets/512-1;https://images.brickset.com/sets/small/512-1.jpg;https://images.brickset.com/sets/images/512-1.jpg
21;513-1;Building Set ;1970;Duplo;Basic Set;Pre-school;Normal;29.0;;;;https://brickset.com/sets/513-1;https://images.brickset.com/sets/small/513-1.jpg;https://images.brickset.com/sets/images/513-1.jpg
22;600-1;Ambulance;1970;LEGOLAND;Vehicle;Vintage;Normal;17.0;;;;https://brickset.com/sets/600-1;https://images.brickset.com/sets/small/600-1.jpg;https://images.brickset.com/sets/images/600-1.jpg
23;601-2;Tow Truck;1970;LEGOLAND;Vehicle;Vintage;Normal;15.0;;;;https://brickset.com/sets/601-2;https://images.brickset.com/sets/small/601-2.jpg;https://images.brickset.com/sets/images/601-2.jpg
24;602-2;Van with opening doors;1970;LEGOLAND;Vehicle;Vintage;Normal;24.0;;;;https://brickset.com/sets/602-2;https://images.brickset.com/sets/small/602-2.jpg;https://images.brickset.com/sets/images/602-2.jpg
25;603-3;Veteran Car;1970;LEGOLAND;Vehicle;Vintage;Normal;32.0;;;;https://brickset.com/sets/603-3;https://images.brickset.com/sets/small/603-3.jpg;https://images.brickset.com/sets/images/603-3.jpg
26;620-2;Fire engine with opening doors and ladder;1970;LEGOLAND;Vehicle;Vintage;Normal;40.0;;;;https://brickset.com/sets/620-2;https://images.brickset.com/sets/small/620-2.jpg;https://images.brickset.com/sets/images/620-2.jpg
27;621-2;Articulated petrol tanker;1970;LEGOLAND;Vehicle;Vintage;Normal;43.0;;;;https://brickset.com/sets/621-2;https://images.brickset.com/sets/small/621-2.jpg;https://images.brickset.com/sets/images/621-2.jpg
28;622-2;Parcels trolley;1970;LEGOLAND;Vehicle;Vintage;Normal;33.0;;;;https://brickset.com/sets/622-2;https://images.brickset.com/sets/small/622-2.jpg;https://images.brickset.com/sets/images/622-2.jpg
29;623-2;Car and caravan;1970;LEGOLAND;Vehicle;Vintage;Normal;38.0;;;;https://brickset.com/sets/623-2;https://images.brickset.com/sets/small/623-2.jpg;https://images.brickset.com/sets/images/623-2.jpg
30;708-1;2m Extension Cord for Points;1970;Trains;Supplemental / 12V;Modern day;Normal;1.0;;;;https://brickset.com/sets/708-1;https://images.brickset.com/sets/small/708-1.jpg;https://images.brickset.com/sets/images/708-1.jpg
31;722-2;12V Electric Train with 2 Wagons;1970;Trains;12V;Modern day;Normal;151.0;;;;https://brickset.com/sets/722-2;https://images.brickset.com/sets/small/722-2.jpg;https://images.brickset.com/sets/images/722-2.jpg
32;723-1;Diesel Locomotive;1970;Trains;12V;Modern day;Normal;95.0;;;;https://brickset.com/sets/723-1;https://images.brickset.com/sets/small/723-1.jpg;https://images.brickset.com/sets/images/723-1.jpg
33;742-1;12v Transformer;1970;Trains;Supplemental / 12V;Modern day;Normal;1.0;;;;https://brickset.com/sets/742-1;https://images.brickset.com/sets/small/742-1.jpg;https://images.brickset.com/sets/images/742-1.jpg
34;800-1;Gears. Motor and Bricks;1970;Universal Building Set;Gears;Basic;Normal;120.0;;;;https://brickset.com/sets/800-1;https://images.brickset.com/sets/small/800-1.jpg;https://images.brickset.com/sets/images/800-1.jpg
35;801-1;Gear Set;1970;Universal Building Set;Gears;Basic;Normal;115.0;;;;https://brickset.com/sets/801-1;https://images.brickset.com/sets/small/801-1.jpg;https://images.brickset.com/sets/images/801-1.jpg
36;802-1;Gear Supplement;1970;Universal Building Set;Gears;Basic;Normal;30.0;;;;https://brickset.com/sets/802-1;https://images.brickset.com/sets/small/802-1.jpg;https://images.brickset.com/sets/images/802-1.jpg
37;102A-1;Front-End Loader;1970;LEGOLAND;Vehicle;Vintage;Other;57.0;;;;https://brickset.com/sets/102A-1;https://images.brickset.com/sets/small/102A-1.jpg;https://images.brickset.com/sets/images/102A-1.jpg
38;445A-1;Lighting Device Pack with Improved Plugs (The Building Toy);1970;System;Supplemental;Basic;Other;8.0;;;;https://brickset.com/sets/445A-1;https://images.brickset.com/sets/small/445A-1.jpg;https://images.brickset.com/sets/images/445A-1.jpg
39;707A-1;12V Train Replacement Parts Retailer Pack;1970;Trains;Supplemental / 12V;Modern day;Other;;;;;https://brickset.com/sets/707A-1;https://images.brickset.com/sets/small/707A-1.jpg;https://images.brickset.com/sets/images/707A-1.jpg
40;WEETABIX1-1;Weetabix Castle;1970;LEGOLAND;Promotional;Vintage;Other;471.0;;;;https://brickset.com/sets/WEETABIX1-1;https://images.brickset.com/sets/small/WEETABIX1-1.jpg;https://images.brickset.com/sets/images/WEETABIX1-1.jpg
41;1-10;Mini-Wheel Model Maker No. 1 (Kraft Velveeta);1971;Samsonite;Model Maker;Vintage;Normal;86.0;;;;https://brickset.com/sets/1-10;https://images.brickset.com/sets/small/1-10.jpg;https://images.brickset.com/sets/images/1-10.jpg
42;2-10;Mini-Wheel Model Maker No. 2 (Kraft Velveeta);1971;Samsonite;Model Maker;Vintage;Normal;74.0;;;;https://brickset.com/sets/2-10;https://images.brickset.com/sets/small/2-10.jpg;https://images.brickset.com/sets/images/2-10.jpg
43;3-8;Mini-Wheel Model Maker No. 3 (Kraft Velveeta);1971;Samsonite;Model Maker;Vintage;Normal;65.0;;;;https://brickset.com/sets/3-8;https://images.brickset.com/sets/small/3-8.jpg;https://images.brickset.com/sets/images/3-8.jpg
44;4-5;Mini-Wheel Model Maker Set 4 (Kraft Velveeta);1971;Samsonite;Model Maker;Vintage;Normal;;;;;https://brickset.com/sets/4-5;https://images.brickset.com/sets/small/4-5.jpg;https://images.brickset.com/sets/images/4-5.jpg
45;5-4;Large house set;1971;Minitalia;;Vintage;Normal;307.0;;;;https://brickset.com/sets/5-4;https://images.brickset.com/sets/small/5-4.jpg;https://images.brickset.com/sets/images/5-4.jpg
46;5-5;Mini-Wheel Model Maker Set 5 (Kraft Velveeta);1971;Samsonite;Model Maker;Vintage;Normal;2.0;;;;https://brickset.com/sets/5-5;https://images.brickset.com/sets/small/5-5.jpg;https://images.brickset.com/sets/images/5-5.jpg
47;6-4;Promotional Basic Set No. 6 (Kraft Velveeta);1971;Samsonite;Basic set;Vintage;Normal;77.0;;;;https://brickset.com/sets/6-4;https://images.brickset.com/sets/small/6-4.jpg;https://images.brickset.com/sets/images/6-4.jpg
48;7-5;Promotional Basic Set No. 7 (Kraft Velveeta);1971;Samsonite;Basic Set;Vintage;Normal;159.0;;;;https://brickset.com/sets/7-5;https://images.brickset.com/sets/small/7-5.jpg;https://images.brickset.com/sets/images/7-5.jpg
49;8-4;Promotional Basic Set No. 8 (Kraft Velveeta);1971;Samsonite;Basic Set;Vintage;Normal;301.0;;;;https://brickset.com/sets/8-4;https://images.brickset.com/sets/small/8-4.jpg;https://images.brickset.com/sets/images/8-4.jpg
50;9-2;Promotional Basic Set No. 9 (Kraft Velveeta);1971;Samsonite;Basic Set;Vintage;Normal;550.0;;;;https://brickset.com/sets/9-2;https://images.brickset.com/sets/small/9-2.jpg;https://images.brickset.com/sets/images/9-2.jpg
51;10-3;Promotional Basic Set No. 10 (Kraft Velveeta);1971;Samsonite;Basic Set;Vintage;Normal;101.0;;;;https://brickset.com/sets/10-3;https://images.brickset.com/sets/small/10-2.jpg;https://images.brickset.com/sets/images/10-2.jpg
52;21-2;Truck;1971;Minitalia;;Vintage;Normal;33.0;;;;https://brickset.com/sets/21-2;https://images.brickset.com/sets/small/21-2.jpg;https://images.brickset.com/sets/images/21-2.jpg
53;22-1;Car;1971;Minitalia;;Vintage;Normal;47.0;;;;https://brickset.com/sets/22-1;https://images.brickset.com/sets/small/22-1.jpg;https://images.brickset.com/sets/images/22-1.jpg
54;23-1;Delivery truck;1971;Minitalia;;Vintage;Normal;64.0;;;;https://brickset.com/sets/23-1;https://images.brickset.com/sets/small/23-1.jpg;https://images.brickset.com/sets/images/23-1.jpg
55;24-1;Train;1971;Minitalia;;Vintage;Normal;88.0;;;;https://brickset.com/sets/24-1;https://images.brickset.com/sets/small/24-1.jpg;https://images.brickset.com/sets/images/24-1.jpg
56;101-2;Imagination Set 1;1971;Samsonite;Basic set;Vintage;Normal;290.0;;;;https://brickset.com/sets/101-2;https://images.brickset.com/sets/small/101-2.jpg;https://images.brickset.com/sets/images/101-2.jpg
57;102-2;Imagination Set 2;1971;Samsonite;Basic set;Vintage;Normal;426.0;;;;https://brickset.com/sets/102-2;https://images.brickset.com/sets/small/102-2.jpg;https://images.brickset.com/sets/images/102-2.jpg
58;103-2;Imagination Set 3;1971;Samsonite;Basic set;Vintage;Normal;576.0;;;;https://brickset.com/sets/103-2;https://images.brickset.com/sets/small/103-2.jpg;https://images.brickset.com/sets/images/103-2.jpg
59;104-2;Imagination Set 4;1971;Samsonite;Basic set;Vintage;Normal;737.0;;;;https://brickset.com/sets/104-2;https://images.brickset.com/sets/small/104-2.jpg;https://images.brickset.com/sets/images/104-2.jpg
60;105-3;Imagination Set 5;1971;Samsonite;Basic set;Vintage;Normal;917.0;;;;https://brickset.com/sets/105-3;;
61;107-3;4.5V Reversible Power Unit;1971;Samsonite;Model Maker;Vintage;Normal;16.0;;;;https://brickset.com/sets/107-3;https://images.brickset.com/sets/small/107-3.jpg;https://images.brickset.com/sets/images/107-3.jpg
62;110-2;Vehicle Accessory Pack;1971;Samsonite;Supplemental;Vintage;Normal;61.0;;;;https://brickset.com/sets/110-2;;
63;111-3;Building Accessory Pack;1971;Samsonite;Supplemental;Vintage;Normal;111.0;;;;https://brickset.com/sets/111-3;;
64;112-3;Lego Giant Base Plate;1971;Samsonite;Supplemental;Vintage;Normal;2.0;;;;https://brickset.com/sets/112-3;https://images.brickset.com/sets/small/112-3.jpg;https://images.brickset.com/sets/images/112-3.jpg
65;128-2;Mobile Crane (Train Base);1971;Trains;4.5V;Modern day;Normal;23.0;;;;https://brickset.com/sets/128-2;https://images.brickset.com/sets/small/128-2.jpg;https://images.brickset.com/sets/images/128-2.jpg
66;128-3;Mobile Crane (Plate Base);1971;Trains;4.5V;Modern day;Normal;38.0;;;;https://brickset.com/sets/128-3;https://images.brickset.com/sets/small/128-3.jpg;https://images.brickset.com/sets/images/128-3.jpg
67;166-2;Vehicle Extra Parts Kit;1971;Samsonite;Supplemental;Vintage;Normal;61.0;;;;https://brickset.com/sets/166-2;https://images.brickset.com/sets/small/166-2.jpg;https://images.brickset.com/sets/images/166-2.jpg
68;167-2;House and Garden Extra Parts Kit;1971;Samsonite;Supplemental;Vintage;Normal;111.0;;;;https://brickset.com/sets/167-2;https://images.brickset.com/sets/small/167-2.jpg;https://images.brickset.com/sets/images/167-2.jpg
69;248-2;Factory with Conveyor Belt;1971;Samsonite;Model Maker;Vintage;Normal;248.0;;;;https://brickset.com/sets/248-2;https://images.brickset.com/sets/small/248-2.jpg;https://images.brickset.com/sets/images/248-2.jpg
70;260-3;Dolls Living Room;1971;Homemaker;;Vintage;Normal;173.0;;;;https://brickset.com/sets/260-3;https://images.brickset.com/sets/small/260-3.jpg;https://images.brickset.com/sets/images/260-3.jpg
71;261-4;Dolls Kitchen;1971;Homemaker;;Vintage;Normal;156.0;;;;https://brickset.com/sets/261-4;https://images.brickset.com/sets/small/261-4.jpg;https://images.brickset.com/sets/images/261-4.jpg
72;348-1;Garage with Automatic Doors;1971;LEGOLAND;Building;Vintage;Normal;38.0;;;;https://brickset.com/sets/348-1;https://images.brickset.com/sets/small/348-1.jpg;https://images.brickset.com/sets/images/348-1.jpg
73;349-1;Swiss Chalet;1971;LEGOLAND;Building;Vintage;Normal;81.0;;;;https://brickset.com/sets/349-1;https://images.brickset.com/sets/small/349-1.jpg;https://images.brickset.com/sets/images/349-1.jpg
74;349-2;Mini-Wheel Construction Set;1971;Samsonite;Model Maker;Vintage;Normal;195.0;;;;https://brickset.com/sets/349-2;https://images.brickset.com/sets/small/349-2.jpg;https://images.brickset.com/sets/images/349-2.jpg
75;350-1;Spanish Villa;1971;LEGOLAND;Building;Vintage;Normal;126.0;;;;https://brickset.com/sets/350-1;https://images.brickset.com/sets/small/350-1.jpg;https://images.brickset.com/sets/images/350-1.jpg
76;351-1;Gravel Depot;1971;LEGOLAND;Building;Vintage;Normal;170.0;;;;https://brickset.com/sets/351-1;https://images.brickset.com/sets/small/351-1.jpg;https://images.brickset.com/sets/images/351-1.jpg
77;360-2;Ambulance Kit;1971;Samsonite;Model Maker;Vintage;Normal;23.0;;;;https://brickset.com/sets/360-2;https://images.brickset.com/sets/small/360-2.jpg;https://images.brickset.com/sets/images/360-2.jpg
78;361-3;Tow Truck Kit;1971;Samsonite;Model Maker;Vintage;Normal;24.0;;;;https://brickset.com/sets/361-3;https://images.brickset.com/sets/small/361-3.jpg;https://images.brickset.com/sets/images/361-3.jpg
79;362-2;Delivery Van Kit;1971;Samsonite;Model Maker;Vintage;Normal;33.0;;;;https://brickset.com/sets/362-2;https://images.brickset.com/sets/small/362-2.jpg;https://images.brickset.com/sets/images/362-2.jpg
80;363-2;Antique Car Kit;1971;Samsonite;Model Maker;Vintage;Normal;38.0;;;;https://brickset.com/sets/363-2;https://images.brickset.com/sets/small/363-2.jpg;https://images.brickset.com/sets/images/363-2.jpg
81;371-1;Tipper Truck;1971;LEGOLAND;Vehicle;Vintage;Normal;48.0;;;;https://brickset.com/sets/371-1;https://images.brickset.com/sets/small/371-1.jpg;https://images.brickset.com/sets/images/371-1.jpg
82;372-2;Tow Truck;1971;LEGOLAND;Vehicle;Vintage;Normal;54.0;;;;https://brickset.com/sets/372-2;https://images.brickset.com/sets/small/372-2.jpg;https://images.brickset.com/sets/images/372-2.jpg
83;373-2;Ambulance;1971;LEGOLAND;Vehicle;Vintage;Normal;65.0;;;;https://brickset.com/sets/373-2;https://images.brickset.com/sets/small/373-2.jpg;https://images.brickset.com/sets/images/373-2.jpg
84;374-2;Fire Engine;1971;LEGOLAND;Vehicle;Vintage;Normal;74.0;;;;https://brickset.com/sets/374-2;https://images.brickset.com/sets/small/374-2.jpg;https://images.brickset.com/sets/images/374-2.jpg
85;375-3;Refrigerator Truck and Trailer;1971;LEGOLAND;Vehicle;Vintage;Normal;128.0;;;;https://brickset.com/sets/375-3;https://images.brickset.com/sets/small/375-3.jpg;https://images.brickset.com/sets/images/375-3.jpg
86;376-1;Low loader with Excavator;1971;LEGOLAND;Vehicle;Vintage;Normal;92.0;;;;https://brickset.com/sets/376-1;https://images.brickset.com/sets/small/376-1.jpg;https://images.brickset.com/sets/images/376-1.jpg
87;377-2;Crane w/Float Truck;1971;LEGOLAND;Vehicle;Vintage;Normal;91.0;;;;https://brickset.com/sets/377-2;https://images.brickset.com/sets/small/377-2.jpg;https://images.brickset.com/sets/images/377-2.jpg
88;380-1;Village Set;1971;LEGOLAND;Building;Vintage;Normal;485.0;;;;https://brickset.com/sets/380-1;https://images.brickset.com/sets/small/380-1.jpg;https://images.brickset.com/sets/images/380-1.jpg
89;604-2;Excavator;1971;LEGOLAND;Vehicle;Vintage;Normal;22.0;;;;https://brickset.com/sets/604-2;https://images.brickset.com/sets/small/604-2.jpg;https://images.brickset.com/sets/images/604-2.jpg
90;605-2;Taxi;1971;LEGOLAND;Vehicle;Vintage;Normal;19.0;;;;https://brickset.com/sets/605-2;https://images.brickset.com/sets/small/605-2.jpg;https://images.brickset.com/sets/images/605-2.jpg
91;608-1;Kiosk;1971;LEGOLAND;Building;Vintage;Normal;33.0;;;;https://brickset.com/sets/608-1;https://images.brickset.com/sets/small/608-1.jpg;https://images.brickset.com/sets/images/608-1.jpg
92;630-2;Diplomat Set;1971;Samsonite;Basic set;Vintage;Normal;633.0;;;;https://brickset.com/sets/630-2;https://images.brickset.com/sets/small/630-2.jpg;https://images.brickset.com/sets/images/630-2.jpg
93;640-1;Fire Truck;1971;LEGOLAND;Vehicle;Vintage;Normal;45.0;;;;https://brickset.com/sets/640-1;https://images.brickset.com/sets/small/640-1.jpg;https://images.brickset.com/sets/images/640-1.jpg
94;642-2;Double Excavator;1971;LEGOLAND;Vehicle;Vintage;Normal;33.0;;;;https://brickset.com/sets/642-2;https://images.brickset.com/sets/small/642-2.jpg;https://images.brickset.com/sets/images/642-2.jpg
95;643-2;Mobile Crane;1971;LEGOLAND;Vehicle;Vintage;Normal;35.0;;;;https://brickset.com/sets/643-2;https://images.brickset.com/sets/small/643-2.jpg;https://images.brickset.com/sets/images/643-2.jpg
96;644-1;Double Tanker;1971;LEGOLAND;Vehicle;Vintage;Normal;61.0;;;;https://brickset.com/sets/644-1;https://images.brickset.com/sets/small/644-1.jpg;https://images.brickset.com/sets/images/644-1.jpg
97;645-2;Milk Truck with Trailer;1971;LEGOLAND;Vehicle;Vintage;Normal;57.0;;;;https://brickset.com/sets/645-2;https://images.brickset.com/sets/small/645-2.jpg;https://images.brickset.com/sets/images/645-2.jpg
98;646-2;Mobile Site Office;1971;LEGOLAND;Vehicle;Vintage;Normal;51.0;;;;https://brickset.com/sets/646-2;https://images.brickset.com/sets/small/646-2.jpg;https://images.brickset.com/sets/images/646-2.jpg
99;647-1;Lorry With Girders;1971;LEGOLAND;Vehicle;Vintage;Normal;52.0;;;;https://brickset.com/sets/647-1;https://images.brickset.com/sets/small/647-1.jpg;https://images.brickset.com/sets/images/647-1.jpg
100;648-1;Service Station;1971;LEGOLAND;Building;Vintage;Normal;55.0;;;;https://brickset.com/sets/648-1;https://images.brickset.com/sets/small/648-1.jpg;https://images.brickset.com/sets/images/648-1.jpg
101;680-1;Low-Loader with Crane;1971;LEGOLAND;Vehicle;Vintage;Normal;61.0;;;;https://brickset.com/sets/680-1;https://images.brickset.com/sets/small/680-1.jpg;https://images.brickset.com/sets/images/680-1.jpg
102;681-1;Low loader with 4 wheel excavator;1971;LEGOLAND;Vehicle;Vintage;Normal;62.0;;;;https://brickset.com/sets/681-1;https://images.brickset.com/sets/small/681-1.jpg;https://images.brickset.com/sets/images/681-1.jpg
103;682-1;Low-Loader and Tractor;1971;LEGOLAND;Vehicle;Vintage;Normal;57.0;;;;https://brickset.com/sets/682-1;https://images.brickset.com/sets/small/682-1.jpg;https://images.brickset.com/sets/images/682-1.jpg
104;683-1;Articulated Lorry;1971;LEGOLAND;Vehicle;Vintage;Normal;58.0;;;;https://brickset.com/sets/683-1;https://images.brickset.com/sets/small/683-1.jpg;https://images.brickset.com/sets/images/683-1.jpg
105;695-3;Bulk Assortment Set;1971;Samsonite;Basic set;Vintage;Normal;;;;;https://brickset.com/sets/695-3;https://images.brickset.com/sets/small/695-3.jpg;https://images.brickset.com/sets/images/695-3.jpg
106;795-1;2 Large Baseplates, Red/Blue;1971;Universal Building Set;Supplemental;Basic;Normal;2.0;;;;https://brickset.com/sets/795-1;https://images.brickset.com/sets/small/795-1.jpg;https://images.brickset.com/sets/images/795-1.jpg
107;796-1;2 Large Baseplates, Green/Yellow;1971;Universal Building Set;Supplemental;Basic;Normal;2.0;;;;https://brickset.com/sets/796-1;https://images.brickset.com/sets/small/796-1.jpg;https://images.brickset.com/sets/images/796-1.jpg
108;797-1;2 Large Baseplates, Grey/White;1971;Universal Building Set;Supplemental;Basic;Normal;2.0;;;;https://brickset.com/sets/797-1;https://images.brickset.com/sets/small/797-1.jpg;https://images.brickset.com/sets/images/797-1.jpg
109;798-1;2 Medium Baseplates, Green;1971;Universal Building Set;Supplemental;Basic;Normal;2.0;;;;https://brickset.com/sets/798-1;https://images.brickset.com/sets/small/798-1.jpg;https://images.brickset.com/sets/images/798-1.jpg
110;990-1;Trees and Signs (1971 version with granulated trees and 4 bricks);1971;Universal Building Set;Supplemental;Basic;Normal;12.0;;;;https://brickset.com/sets/990-1;https://images.brickset.com/sets/small/990-1.jpg;https://images.brickset.com/sets/images/990-1.jpg
111;16197-1;Thinking with LEGO;1971;Books;LEGO;Miscellaneous;Book;;;;;https://brickset.com/sets/16197-1;https://images.brickset.com/sets/small/16197-1.jpg;https://images.brickset.com/sets/images/16197-1.jpg
112;BB173-3;Holdall Storage Bag;1971;Gear;Storage;Miscellaneous;Gear;;;;;https://brickset.com/sets/BB173-3;;
113;DELMONTE1-1;Del Monte Building Kit;1971;Samsonite;Basic set;Vintage;Other;;;;;https://brickset.com/sets/DELMONTE1-1;https://images.brickset.com/sets/small/DELMONTE1-1.jpg;https://images.brickset.com/sets/images/DELMONTE1-1.jpg
114;SAMSONITE-11;857 Piece Basic Set;1971;Samsonite;Basic set;Vintage;Other;857.0;;;;https://brickset.com/sets/SAMSONITE-11;;
115;SAMSONITE-13;920 Piece Motorized Basic Set;1971;Samsonite;Basic set;Vintage;Other;920.0;;;;https://brickset.com/sets/SAMSONITE-13;;
116;SAMSONITE-14;1252 Piece Motorized Basic Set;1971;Samsonite;Basic set;Vintage;Other;1252.0;;;;https://brickset.com/sets/SAMSONITE-14;https://images.brickset.com/sets/small/SAMSONITE-14.jpg;https://images.brickset.com/sets/images/SAMSONITE-14.jpg
117;SAMSONITE-2;1081 Piece Basic Set;1971;Samsonite;Basic set;Vintage;Other;1081.0;;;;https://brickset.com/sets/SAMSONITE-2;;
118;SAMSONITE-3;1241 Piece Basic Set;1971;Samsonite;Basic set;Vintage;Other;1241.0;;;;https://brickset.com/sets/SAMSONITE-3;https://images.brickset.com/sets/small/SAMSONITE-3.jpg;https://images.brickset.com/sets/images/SAMSONITE-3.jpg
119;130-1;Double Tipper Wagon;1972;Trains;4.5/12V;Modern day;Normal;20.0;;;;https://brickset.com/sets/130-1;https://images.brickset.com/sets/small/130-1.jpg;https://images.brickset.com/sets/images/130-1.jpg
120;131-1;Passenger Coach;1972;Trains;4.5/12V;Modern day;Normal;67.0;;;;https://brickset.com/sets/131-1;https://images.brickset.com/sets/small/131-1.jpg;https://images.brickset.com/sets/images/131-1.jpg
121;132-2;Port Crane and Flat Wagon;1972;Trains;4.5/12V;Modern day;Normal;60.0;;;;https://brickset.com/sets/132-2;https://images.brickset.com/sets/small/132-2.jpg;https://images.brickset.com/sets/images/132-2.jpg
122;161-1;Battery Wagon;1972;Trains;4.5/12V;Modern day;Normal;8.0;;;;https://brickset.com/sets/161-1;https://images.brickset.com/sets/small/161-1.jpg;https://images.brickset.com/sets/images/161-1.jpg
123;170-1;Push-along Play Train;1972;Trains;4.5/12V;Modern day;Normal;93.0;;;;https://brickset.com/sets/170-1;https://images.brickset.com/sets/small/170-1.jpg;https://images.brickset.com/sets/images/170-1.jpg
124;171-1;Train Set without Motor;1972;Trains;4.5/12V;Modern day;Normal;147.0;;;;https://brickset.com/sets/171-1;https://images.brickset.com/sets/small/171-1.jpg;https://images.brickset.com/sets/images/171-1.jpg
125;180-1;4.5V Train with 5 Wagons;1972;Trains;4.5/12V;Modern day;Normal;228.0;;;;https://brickset.com/sets/180-1;https://images.brickset.com/sets/small/180-1.jpg;https://images.brickset.com/sets/images/180-1.jpg
126;181-1;Train Set with Motor, Signals and Shunting Switch;1972;Trains;4.5/12V;Modern day;Normal;148.0;;;;https://brickset.com/sets/181-1;https://images.brickset.com/sets/small/181-1.jpg;https://images.brickset.com/sets/images/181-1.jpg
127;220-7;Let's Play with LEGO;1972;Books;LEGO;Miscellaneous;Book;;;;;https://brickset.com/sets/220-7;https://images.brickset.com/sets/small/220-7.jpg;https://images.brickset.com/sets/images/220-7.jpg
128;262-2;Complete Children's Room Set;1972;Homemaker;;Vintage;Normal;259.0;;;;https://brickset.com/sets/262-2;https://images.brickset.com/sets/small/262-2.jpg;https://images.brickset.com/sets/images/262-2.jpg
