;set_id;name;year;theme;subtheme;themeGroup;category;pieces;minifigs;agerange_min;US_retailPrice;bricksetURL;thumbnailURL;imageURL
7657;852445-1;Gold Brick Key Chain;2008;Gear;Key Chains/Brick;Miscellaneous;Gear;;;;4.99;https://brickset.com/sets/852445-1;https://images.brickset.com/sets/small/852445-1.jpg;https://images.brickset.com/sets/images/852445-1.jpg
7658;852454-1;Note Block;2008;Gear;Stationery;Miscellaneous;Gear;;;;7.99;https://brickset.com/sets/852454-1;https://images.brickset.com/sets/small/852454-1.jpg;https://images.brickset.com/sets/images/852454-1.jpg
7659;852458-1;LEGO Brick Paper Clips;2008;Gear;Stationery;Miscellaneous;Gear;;;;2.99;https://brickset.com/sets/852458-1;https://images.brickset.com/sets/small/852458-1.jpg;https://images.brickset.com/sets/images/852458-1.jpg
7660;852459-1;Photo Album;2008;Gear;Photo frames;Miscellaneous;Gear;;;;9.99;https://brickset.com/sets/852459-1;https://images.brickset.com/sets/small/852459-1.jpg;https://images.brickset.com/sets/images/852459-1.jpg
7661;852460-1;Magnetic Photo Frames;2008;Gear;Photo frames;Miscellaneous;Gear;;;;7.99;https://brickset.com/sets/852460-1;https://images.brickset.com/sets/small/852460-1.jpg;https://images.brickset.com/sets/images/852460-1.jpg
7662;852461-1;Gift Tag Stickers;2008;Gear;Seasonal;Miscellaneous;Gear;;;;1.49;https://brickset.com/sets/852461-1;https://images.brickset.com/sets/small/852461-1.jpg;https://images.brickset.com/sets/images/852461-1.jpg
7663;852462-1;Wrapping Paper;2008;Gear;Seasonal;Miscellaneous;Gear;;;;2.99;https://brickset.com/sets/852462-1;https://images.brickset.com/sets/small/852462-1.jpg;https://images.brickset.com/sets/images/852462-1.jpg
7664;852467-1;Magnet Set Small (4x4);2008;Gear;Magnets/Bricks;Miscellaneous;Gear;;;;;https://brickset.com/sets/852467-1;https://images.brickset.com/sets/small/852467-1.jpg;https://images.brickset.com/sets/images/852467-1.jpg
7665;852468-1;Magnet Set Medium (4x4);2008;Gear;Magnets/Bricks;Miscellaneous;Gear;;;;9.99;https://brickset.com/sets/852468-1;https://images.brickset.com/sets/small/852468-1.jpg;https://images.brickset.com/sets/images/852468-1.jpg
7666;852469-1;Magnet Set Large (4x4);2008;Gear;Magnets/Bricks;Miscellaneous;Gear;;;;19.99;https://brickset.com/sets/852469-1;https://images.brickset.com/sets/small/852469-1.jpg;https://images.brickset.com/sets/images/852469-1.jpg
7667;852660-1;Ice Brick Tray - Blue;2008;Gear;Housewares;Miscellaneous;Gear;;;;7.99;https://brickset.com/sets/852660-1;https://images.brickset.com/sets/small/852660-1.jpg;https://images.brickset.com/sets/images/852660-1.jpg
7668;853077-1;Lunchbox Pink;2008;Gear;Housewares;Miscellaneous;Gear;;;;;https://brickset.com/sets/853077-1;https://images.brickset.com/sets/small/853077-1.jpg;https://images.brickset.com/sets/images/853077-1.jpg
7669;876993-1;LEGO Brick Eraser Set;2008;Gear;Stationery;Miscellaneous;Gear;;;;;https://brickset.com/sets/876993-1;https://images.brickset.com/sets/small/876993-1.jpg;https://images.brickset.com/sets/images/876993-1.jpg
7670;920616-1;Lunchbox Red;2008;Gear;Housewares;Miscellaneous;Gear;;;;;https://brickset.com/sets/920616-1;https://images.brickset.com/sets/small/920616-1.jpg;https://images.brickset.com/sets/images/920616-1.jpg
7671;922999-1;Lunchbox Yellow;2008;Gear;Housewares;Miscellaneous;Gear;;;;;https://brickset.com/sets/922999-1;https://images.brickset.com/sets/small/922999-1.jpg;https://images.brickset.com/sets/images/922999-1.jpg
7672;926096-1;Lunchbox Green;2008;Gear;Housewares;Miscellaneous;Gear;;;;;https://brickset.com/sets/926096-1;https://images.brickset.com/sets/small/926096-1.jpg;https://images.brickset.com/sets/images/926096-1.jpg
7673;2000416-1;Duck;2008;Serious Play;;Educational;Normal;6.0;;6.0;;https://brickset.com/sets/2000416-1;https://images.brickset.com/sets/small/2000416-1.jpg;https://images.brickset.com/sets/images/2000416-1.jpg
7674;2851146-1;LEGO Pirates T-Shirt;2008;Gear;Clothing;Miscellaneous;Gear;;;;14.99;https://brickset.com/sets/2851146-1;;
7675;4268591-1;Small Knight Shield;2008;Gear;Role-play toys;Miscellaneous;Gear;;;;;https://brickset.com/sets/4268591-1;https://images.brickset.com/sets/small/4268591-1.jpg;https://images.brickset.com/sets/images/4268591-1.jpg
7676;4294200-1;Racer Key Chain;2008;Gear;Key Chains/Racers;Miscellaneous;Gear;;;;;https://brickset.com/sets/4294200-1;https://images.brickset.com/sets/small/4294200-1.jpg;https://images.brickset.com/sets/images/4294200-1.jpg
7677;4527617-1;Castle photo frame;2008;Gear;Photo frames;Miscellaneous;Gear;;2.0;;;https://brickset.com/sets/4527617-1;;
7678;4559922-1;Troll Warriors Battle Pack;2008;Castle;Battle Pack;Historical;Extended;36.0;;;;https://brickset.com/sets/4559922-1;;
7679;50YEARSET-1;50 Year Anniversary Promotional Set;2008;Promotional;Miscellaneous;Miscellaneous;Other;6.0;;;;https://brickset.com/sets/50YEARSET-1;;
